Company,Year,Debt,EBITDA
ABC Corp,2019,500000,150000
ABC Corp,2020,550000,180000
ABC Corp,2021,600000,200000
XYZ Inc,2019,400000,120000
XYZ Inc,2020,450000,135000
XYZ Inc,2021,480000,144000
DEF Ltd,2019,300000,90000
DEF Ltd,2020,350000,105000
DEF Ltd,2021,400000,120000
GHI Co,2019,250000,75000
GHI Co,2020,300000,90000
GHI Co,2021,350000,105000
JKL Corp,2019,450000,135000
JKL Corp,2020,500000,150000
JKL Corp,2021,550000,165000
MNO Inc,2019,350000,105000
MNO Inc,2020,400000,120000
MNO Inc,2021,450000,135000
PQR Co,2019,275000,82500
PQR Co,2020,325000,97500
PQR Co,2021,375000,112500
STU Inc,2019,425000,127500
STU Inc,2020,475000,142500
STU Inc,2021,525000,157500
VWX Ltd,2019,325000,97500
VWX Ltd,2020,375000,112500
VWX Ltd,2021,425000,127500
YZA Corp,2019,400000,120000
YZA Corp,2020,450000,135000
YZA Corp,2021,500000,150000
BCD Inc,2019,275000,82500
BCD Inc,2020,325000,97500
BCD Inc,2021,375000,112500
EFG Ltd,2019,225000,67500
EFG Ltd,2020,275000,82500
EFG Ltd,2021,325000,97500
HIJ Co,2019,350000,105000
HIJ Co,2020,400000,120000
HIJ Co,2021,450000,135000
LMN Inc,2019,275000,82500
LMN Inc,2020,325000,97500
LMN Inc,2021,375000,112500
